"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1793590079954596147","Thu May 23 10:29:33 +0000 2024","0","Pinjaman Tanpa Syarat jika ingin meminjam bisa di scan barkot nya ya atau bisa clik link di bawah ini https://t.co/72I00W1a3l https://t.co/mrTjTs69zl","1793590079954596147","https://pbs.twimg.com/media/GOQcp7xaMAAV4K6.jpg","","in","","0","0","0","https://x.com/Bankai655951/status/1793590079954596147","1739348276670017536","Bankai655951"
"1793500921173057721","Thu May 23 10:28:56 +0000 2024","0","@KromaOrders up slot gacor hari ini ini yang paling gacor yang bisa bikin maxwin cuan banget","1793589926858223949","","KromaOrders","in","LINK GACOR ➡️","0","0","0","https://x.com/recommendedfor/status/1793589926858223949","733124281572327424","recommendedfor"
"1793479765904830482","Thu May 23 10:28:41 +0000 2024","0","@ubaid252ur up slot gacor hari ini ini yang paling gacor yang bisa bikin maxwin cuan banget","1793589862328856802","","ubaid252ur","in","LINK GACOR ➡️","0","0","0","https://x.com/recepturk765/status/1793589862328856802","919537353990995968","recepturk765"
"1793459055002005736","Thu May 23 10:28:02 +0000 2024","0","@ubvavb2883 up slot gacor hari ini ini yang paling gacor yang bisa bikin maxwin cuan banget","1793589702161039714","","ubvavb2883","in","LINK GACOR ➡️","0","0","0","https://x.com/recaidemirkol83/status/1793589702161039714","970310050152509441","recaidemirkol83"
"1793589629482152154","Thu May 23 10:27:45 +0000 2024","0","Octoplay88 New Game Gacor : Rainbow Jackpots Megaways Selalu Memberikan Maxwin yang Terbaik &gt;&gt; Link Join di Bio PP #octoplay88 #loginoctoplay88 #daftaroctoplay88 #linkoctoplay88 #euro2024OCTOPLAY88 #slotgacorindonesia #slotgacorterbaru #slotgacor #CashDrop #RainbowJackpots https://t.co/waXA0UJoHb","1793589629482152154","https://pbs.twimg.com/media/GOQcPgeaoAAUUV_.jpg","","in","Pacitan, Jawa Timur, Indonesia","0","0","0","https://x.com/7_septiamelia/status/1793589629482152154","1793589006053322752","7_septiamelia"
"1793588751865966851","Thu May 23 10:24:16 +0000 2024","0"," JAPAN TANGGAL :KAMIS 23 MEI 2024 RESULT: 0905 SHIO : Tikus Selamat Kepada Pemenang Member SAPITOTO #SAPITOTO #Resulttogelhariini #slotgacor https://t.co/u8AY3gyKOD","1793588751865966851","https://pbs.twimg.com/media/GOQbdY9aQAAmRrl.jpg","","in","","0","0","0","https://x.com/sapitoto1/status/1793588751865966851","1743188423165493248","sapitoto1"
"1793588696111083671","Thu May 23 10:24:03 +0000 2024","0","Pengeluaran JAPAN Hari Ini adalah : Tanggal : KAMIS 23 MEI 2024 Result : 0905 Shio : Tikus Salam Jackpot Kepada Para Pemenang!! #SKYTOGEL #resultJAPAN #pempek","1793588696111083671","","","in","","0","0","0","https://x.com/skytogel1/status/1793588696111083671","1101920728658538496","skytogel1"
"1793588694458491302","Thu May 23 10:24:02 +0000 2024","0","100% PASTI MAXWIN DIJAMIN PASTI CUAN #macauklub #gacor #slot #maxwin klik link : https://t.co/Sc06uWM6w3 https://t.co/7iTa0armTt","1793588694458491302","https://pbs.twimg.com/media/GOQbKdybgAAw-Ml.jpg","","in","","0","0","0","https://x.com/macauklub_cuan/status/1793588694458491302","1646278493255368704","macauklub_cuan"
"1793588672895533514","Thu May 23 10:23:57 +0000 2024","0","Octoplay88 New Game Gacor : Rainbow Jackpots Megaways Selalu Memberikan Maxwin yang Terbaik &gt;&gt; Link Join di Bio PP #octoplay88 #loginoctoplay88 #daftaroctoplay88 #linkoctoplay88 #euro2024OCTOPLAY88 #slotgacorindonesia #slotgacorterbaru #slotgacor #CashDrop #RainbowJackpots https://t.co/PjBxldEIy3","1793588672895533514","https://pbs.twimg.com/media/GOQbXjlaEAAkce7.jpg","","in","tasikmalaya","0","0","0","https://x.com/Fadildil1799752/status/1793588672895533514","1793588089052610560","Fadildil1799752"
"1793588653815726081","Thu May 23 10:23:52 +0000 2024","3","SLOT GACOR HARI INI LINK GACOR : https://t.co/m3XPRpiXAA https://t.co/J2QwEP4CAS","1793588653815726081","https://pbs.twimg.com/ext_tw_video_thumb/1793582490302791680/pu/img/bYjch3Z7Jx9tlNZP.jpg","","in","jepara","0","3","3","https://x.com/brittneeyj/status/1793588653815726081","334325552","brittneeyj"
